timestamp_ms,acceleration_m/s²_x,acceleration_m/s²_y,acceleration_m/s²_z
1747836303550,0.7945009,3.564667,8.47495
1747836303571,0.9945663,3.6151698,8.387487
1747836303591,0.8694693,3.5281556,8.494029
1747836303610,0.6290765,3.2456396,8.68781
1747836303631,0.55238724,3.472191,9.227179
1747836303650,0.483105,3.4909706,9.164181
1747836303671,0.5270985,3.6276646,9.047015
1747836303691,0.66139823,3.7287447,8.968679
1747836303711,0.39766192,3.6343982,9.052701
1747836303731,-0.12988544,3.6044707,9.484555
1747836303751,-0.31349078,3.4376996,9.512313
1747836303761,-0.21794717,3.4980035,9.485154
1747836303801,0.5163246,4.568885,9.051279
1747836303821,0.33159694,4.4494743,8.74744
1747836303841,-0.295235,4.0513635,8.627057
1747836303862,-0.61530983,3.8253357,8.6752405
1747836303882,-0.651148,3.7152026,8.853458
1747836303902,-0.7341969,3.7328596,8.81792
1747836303921,-1.0426,3.833117,8.664167
1747836303942,-1.3282582,3.892149,8.382923
1747836303962,-1.3201029,4.0194907,8.234259
1747836303982,-1.1163714,4.119224,8.220118
1747836304002,-0.8403648,4.3139772,8.106393
1747836304012,-0.7710078,4.414085,8.160188
1747836304052,-0.7877672,4.5687356,8.2485485
1747836304072,-1.2499977,4.5817537,8.069508
1747836304092,-1.6412252,4.529231,8.069432
1747836304113,-1.691728,4.570232,8.145523
1747836304132,-1.491438,4.772018,8.404172
1747836304152,-1.1804162,4.8840218,8.712126
1747836304173,-1.0935516,4.8131685,8.928876
1747836304193,-1.1767502,4.580856,9.1025305
1747836304212,-1.0167875,4.433089,9.641675
1747836304253,-0.89670336,4.410793,10.572196
1747836304273,-0.99389297,4.5192056,10.084602
1747836304293,-0.44584525,4.5563903,9.204733
1747836304313,-0.040177695,4.9200096,8.986561
1747836304333,0.41487026,4.6969748,9.111508
1747836304353,1.0141689,4.1763105,9.727567
1747836304373,1.3750199,3.904569,11.001058
1747836304393,1.5029601,3.4514663,11.933374
1747836304403,1.4868741,3.1577275,11.855937
1747836304433,0.86236155,2.8077252,10.246735
1747836304453,1.0523264,2.8687027,9.099688
1747836304473,1.547627,3.2076318,8.446669
1747836304493,1.9876363,3.587786,8.374843
1747836304513,1.9304748,3.6541502,8.225056
1747836304534,1.5312417,3.6269164,7.6600986
1747836304553,1.0692356,3.7865796,7.1770687
1747836304574,0.41516954,3.8601265,7.1049433
1747836304594,-0.22580315,3.7734864,7.1456447
1747836304603,-0.39841014,3.7484221,7.159112
1747836304634,-0.12270284,3.9641247,7.221436
1747836304653,0.35037646,4.210877,7.51293
1747836304674,0.5852327,4.2528505,7.69055
1747836304693,0.48654667,4.2440968,7.629049
1747836304714,0.23014264,4.3317842,7.7993364
1747836304734,0.3759645,4.409147,8.118215
1747836304753,0.45467386,4.49242,8.071452
1747836304774,0.19797055,4.70094,8.223185
1747836304794,-7.48188E-05,4.717176,8.503082
1747836304814,-0.19879356,4.7515926,8.697387
1747836304834,-0.2633622,4.8937483,8.622792
1747836304855,-0.08102877,5.077653,8.629826
1747836304874,0.11462241,5.2017775,8.695741
1747836304894,0.2956091,5.3163996,8.871341
1747836304914,0.4456956,5.3912935,9.272519
1747836304934,0.60909986,5.2550483,9.828123
1747836304954,0.537199,5.0340333,10.070536
1747836304975,0.18053778,5.1097503,9.985393
1747836304994,-0.38771105,5.46282,9.36275
1747836305024,-0.7699603,5.9553523,8.314314
1747836305045,-0.08806173,6.017377,8.453702
1747836305065,0.779163,5.4025164,9.712603
1747836305085,0.7398083,4.483068,11.154736
1747836305105,-0.037933134,3.4861073,11.65011
1747836305124,-0.8698434,2.8068273,10.996643
1747836305144,-1.3980641,2.9788358,9.884686
1747836305165,-1.5543606,3.529203,8.840141
1747836305185,-1.5487492,3.7932384,8.247426
1747836305205,-1.1208605,3.8631194,8.23336
1747836305246,0.95229375,4.5221233,8.662596
1747836305266,0.96710783,4.2613797,8.470013
1747836305285,0.3043629,3.8548143,8.166397
1747836305306,-0.05125088,3.6215293,7.860239
1747836305326,-0.08499416,3.6660466,7.576526
1747836305345,-0.20343232,3.8535426,7.1630025
1747836305366,-0.4014777,4.009091,6.854375
1747836305385,-0.5732617,4.1041107,6.877943
1747836305406,-0.4130746,4.047323,7.532233
1747836305425,-0.10167875,3.977143,8.013917
1747836305445,-0.16998832,4.0943093,8.330625
1747836305466,-0.24884734,4.185962,8.25633
1747836305486,-0.48198274,4.306196,7.881712
1747836305506,-0.62705636,4.6160955,7.889942
1747836305526,-0.18899229,4.6983213,8.3737955
1747836305546,0.27114335,4.7276506,8.679879
1747836305566,0.26957214,5.0267763,8.593538
1747836305586,0.3513491,5.2684407,8.464102
1747836305606,0.35718498,5.220482,8.519467
1747836305616,0.32516253,5.0760818,8.686837
1747836305646,0.1615338,5.020641,9.914314
1747836305667,0.64837974,5.057976,10.347515
1747836305686,1.1293899,5.059921,10.345645
1747836305707,1.5355811,5.1526213,10.197205
1747836305726,2.0177884,5.01084,10.316166
1747836305747,1.9493291,4.5144916,10.924518
1747836305766,1.316811,3.80289,11.626094
1747836305787,0.74534494,3.3085623,11.182568
1747836305806,0.6824223,3.2858174,10.011504
1747836305827,1.2440122,3.4571524,8.80722
1747836305847,2.3768437,3.7611413,8.031275
1747836305867,3.1134348,4.229507,7.9330378
1747836305887,2.8301709,4.310835,7.8708634
1747836305907,1.8193688,4.0269723,7.7283335
1747836305927,0.62346506,3.5471594,7.475147
1747836305947,-0.14888942,3.3845782,7.3706245
1747836305967,-0.06621464,3.647716,7.361572
1747836305988,0.2303671,3.9142954,7.422549
1747836306008,0.43379942,4.154389,8.004714
1747836306028,0.46387658,4.064756,8.355315
1747836306057,0.28461072,3.8786817,7.7101526
1747836306078,0.099134915,4.1359835,7.3841667
1747836306098,-0.011222821,4.34802,7.3012676
1747836306118,-0.0688333,4.268862,7.444097
1747836306138,-0.10975918,4.1909003,7.887548
1747836306158,-0.019826982,4.21155,8.382849
1747836306177,0.08319851,4.349741,8.958505
1747836306198,0.030526072,4.576367,9.543588
1747836306218,-0.048931498,4.758102,10.106599
1747836306228,-0.03232172,4.7606454,10.289905
1747836306258,0.008230069,4.6330795,9.972374
1747836306278,0.55014265,4.967744,9.907207
1747836306298,1.0566659,5.433117,10.02557
1747836306318,0.85435593,5.658995,9.690382
1747836306339,0.15083471,5.7574563,8.914062
1747836306359,-0.32927755,5.899313,8.52261
1747836306379,-0.17425299,5.6732106,9.361777
1747836306399,0.4421043,4.848932,10.96507
1747836306418,0.5209633,3.7755065,11.948413
1747836306459,-0.970774,3.14022,9.963695
1747836306478,-1.1559505,3.764957,8.614263
1747836306499,-0.71938276,4.314052,8.15697
1747836306519,0.20410569,4.271256,8.552986
1747836306539,0.96785605,3.804611,9.170167
1747836306559,1.173084,3.2895584,9.190667
1747836306578,0.973243,3.081188,8.623166
1747836306599,0.24914661,3.10932,8.402526
1747836306619,-0.069132574,2.980033,8.310498
1747836306629,0.000748188,2.9504046,8.188544
1747836306659,-0.11873744,3.4024599,7.380875
1747836306679,-0.42983404,3.8596027,7.005434
1747836306700,-0.49821842,4.005649,6.863503
1747836306719,-0.5305401,3.9736266,7.0927477
1747836306739,-0.6236147,3.8017678,7.778462
1747836306759,-0.47135845,3.5924249,8.797943
1747836306779,-0.10931027,3.3993924,9.553762
1747836306799,-0.08080431,3.2334442,9.968333
1747836306820,-0.5496189,3.4349313,10.3500595
1747836306849,-0.30690673,3.9101055,10.4527855
1747836306870,0.025812486,4.0183682,10.824934
1747836306890,-0.3842694,3.8967876,11.715727
1747836306909,-0.9244611,3.4138324,12.441843
1747836306930,-0.5291934,3.5913773,12.615797
1747836306950,0.48235682,3.3038487,12.0858555
1747836306970,-0.5434838,3.3864486,10.28332
1747836306990,-2.2944682,3.0737062,8.181585
1747836307010,-3.4723406,3.7710173,7.103372
1747836307030,-2.8645875,4.1480293,6.7158856
1747836307051,-1.9221699,4.482544,6.896498
1747836307081,-1.407192,4.8400283,8.747141
1747836307100,-1.0854712,3.8474073,9.18341
1747836307120,-0.16736966,2.495282,9.890448
1747836307141,0.43596917,1.7184383,10.331204
1747836307161,0.25909752,1.4494647,10.241347
1747836307180,-0.11507132,1.3977649,9.891195
1747836307201,-0.2706196,1.3084313,9.346814
1747836307221,-0.3772364,1.2506711,8.943316
1747836307241,-0.7993641,1.0666916,8.4647
1747836307261,-1.046341,1.2278514,8.44405
1747836307281,-1.0916811,1.698312,8.742951
1747836307301,-0.91451025,2.1374984,9.112107
1747836307321,-0.5519383,2.5598505,9.146299
1747836307341,-1.1177181,3.1102924,9.448044
1747836307361,-1.5817443,3.8420203,9.609129
1747836307381,-1.0096049,4.0848823,9.703176
1747836307402,-0.53817165,3.8518217,10.542493
1747836307422,-1.04881,3.9514055,11.827955
1747836307441,-0.8585458,3.5220203,12.961759
1747836307462,0.28393736,2.6786628,13.052589
