timestamp_ms,acceleration_m/s²_x,acceleration_m/s²_y,acceleration_m/s²_z
1750255129867,0.46814126,6.2404866,6.6368766
1750255129897,0.35516486,6.1608796,6.9409404
1750255129917,0.28954875,5.9614124,7.1778917
1750255129947,0.41988313,5.724087,7.6702743
1750255129957,0.46814126,5.723489,7.7869916
1750255129987,0.9353847,6.018724,7.8657756
1750255130007,1.2264298,6.199785,7.7257147
1750255130038,0.9920225,6.0832176,7.4611554
1750255130067,0.7553706,5.9609637,7.197494
1750255130078,0.8200889,5.9748797,7.2865286
1750255130098,0.9915736,6.031892,7.665411
1750255130128,1.0604069,6.0002437,7.9839892
1750255130147,1.0039935,6.036755,7.9384995
1750255130168,0.9956886,6.0485015,7.8454995
1750255130198,0.91495913,6.2018805,7.533281
1750255130218,0.832434,6.2600894,7.4115505
1750255130248,0.90620536,6.2489414,7.4370637
1750255130278,0.9978584,6.0543375,7.763947
1750255130308,0.8904934,6.0505967,7.7325234
1750255130328,0.86168814,6.101773,7.3455606
1750255130379,0.6902035,6.227917,6.7759647
1750255130398,0.6655881,6.243704,6.8664956
1750255130419,0.5960066,6.280365,6.9768534
1750255130448,0.75454766,6.384438,6.9560537
1750255130469,0.79165775,6.431275,6.880861
1750255130499,0.6830957,6.539238,6.731223
1750255130528,0.65197104,6.6026096,6.7546415
1750255130539,0.6772598,6.630293,6.8570685
1750255130559,0.72918403,6.675633,6.979622
1750255130579,0.6230162,6.7856913,6.977153
1750255130609,0.44831428,6.9740105,6.939893
1750255130639,0.5777508,7.1251445,7.1316533
1750255130669,0.5579238,7.1955485,7.479112
1750255130700,0.37701195,7.185598,7.8120556
1750255130720,0.22011691,7.1820064,8.252813
1750255130749,0.34566286,7.061773,8.797868
1750255130760,0.3410241,7.0491285,9.125799
1750255130779,0.30137014,6.881459,9.586159
1750255130819,0.49799395,6.714015,9.034446
1750255130849,0.54887074,6.2227545,9.273117
1750255130880,0.8121581,5.746982,9.782634
1750255130899,0.7898621,5.7211695,9.424775
1750255130920,0.15622166,6.0378027,8.490213
1750255130930,-0.23328502,6.1500306,7.9244337
1750255130959,-1.2277765,6.390274,6.32376
1750255130970,-1.511265,6.474819,6.065635
1750255131000,-1.3034184,6.0234375,6.5012302
1750255131040,-0.016834231,4.8278327,9.717766
1750255131060,0.28752866,4.3016324,10.183513
1750255131080,-0.12539631,4.4701242,9.233687
1750255131111,-0.33773208,4.644602,6.8835545
1750255131140,-0.7137714,4.966472,5.5418286
1750255131170,-0.6887819,5.072191,5.1608515
1750255131201,-0.3800047,5.449128,5.478532
1750255131210,-0.21218613,5.5766945,5.7579803
1750255131241,0.15622166,5.8416276,6.5367694
1750255131260,0.11372458,5.9845314,6.9009123
1750255131290,-0.20066403,6.3643866,7.0432925
1750255131311,-0.3184288,6.651691,7.0236154
1750255131331,-0.35673606,7.0316954,7.1928554
1750255131361,-0.09808745,7.233856,8.007407
1750255131391,-0.4758476,7.0733695,8.625186
1750255131421,-0.32478842,7.240889,9.42238
1750255131452,0.369979,7.5705404,8.882414
1750255131471,0.9871593,7.1951747,8.85069
1750255131502,1.7964743,5.7929206,10.967389
1750255131511,1.9523219,5.210681,11.732038
1750255131542,1.864335,4.055628,11.593323
1750255131561,1.5483003,4.4265795,9.795427
1750255131582,1.6996588,4.8415995,7.6541133
1750255131612,1.6757915,5.3991494,5.5228996
1750255131642,1.4178163,4.99842,5.0524387
1750255131672,0.49956515,4.3965025,6.0389996
1750255131702,-0.3812018,4.1742907,6.454319
1750255131712,-0.67202246,4.272303,6.408904
1750255131742,-0.81664723,4.845191,5.6790466
1750255131762,-0.7945757,5.434389,5.2028995
1750255131792,-0.673893,6.0927196,5.17387
1750255131812,-0.5635352,6.3232365,5.7760863
1750255131832,-0.42474633,6.316353,6.9590464
1750255131862,-0.369979,6.4395795,8.543409
1750255131872,-0.47016135,6.5639286,8.822633
1750255131902,-1.2117653,7.0127664,9.043274
1750255131923,-1.2135609,7.164873,9.130961
1750255131953,-0.45429978,7.1717563,9.976264
1750255131973,-0.060229138,7.2799444,10.730737
1750255132002,-0.84859484,8.1697645,10.388291
1750255132013,-1.1928362,8.34484,9.672351
1750255132043,-0.007182605,7.503204,9.108591
1750255132073,1.0218004,5.044433,12.326921
1750255132103,-0.23897126,4.361263,10.775628
1750255132124,-1.0284593,5.2140474,7.9272017
1750255132143,-1.4519337,5.8809075,5.5803604
1750255132173,-1.2244846,5.4513726,4.7901244
1750255132183,-1.0128222,4.9455976,5.497611
1750255132213,-0.26635495,3.5666122,8.234183
1750255132243,0.071451955,2.9730747,9.298705
