CreatedAt,UpdatedAt,ID,RecordingID,DeviceID,DeviceName,Duration,EffectivePeriod.Start,EffectivePeriod.End,DataValid,DataValidationError
2025-05-18T11:30:44Z,2025-05-18T11:30:44Z,01JVHJFJ9MNQDN64S7GWAQTP00,0196e327-c931-b237-64a5-f86946e446ff,internal:accelerometer,Internal Accelerometer,46.566s,2025-05-18T11:29:17Z,2025-05-18T11:30:04Z,valid,
2025-05-18T11:31:14Z,2025-05-18T11:31:14Z,01JVHHN3EMZ94Y0HGWPKATKEVZ,0196e31a-8dd4-a3e6-a29e-8466e028cc92,internal:accelerometer,Internal Accelerometer,35.192s,2025-05-18T11:14:50Z,2025-05-18T11:15:25Z,valid,
2025-05-18T11:31:14Z,2025-05-18T11:31:14Z,01JVHJ8VPER6MH8VXX45F1DSBY,0196e324-6ecc-fe3c-6174-1cb9ae23498f,internal:accelerometer,Internal Accelerometer,31.717s,2025-05-18T11:25:37Z,2025-05-18T11:26:09Z,valid,
2025-05-18T11:31:14Z,2025-05-18T11:31:14Z,01JVHJCBD0TW763Q2EWXJSWAKM,0196e326-2d9e-68ba-c5ac-298bc227b3c0,internal:accelerometer,Internal Accelerometer,33.55s,2025-05-18T11:27:32Z,2025-05-18T11:28:05Z,valid,
2025-05-18T11:37:14Z,2025-05-18T11:37:14Z,01JVHJT44X0H3MBBHN50TJXF99,0196e32d-109c-328e-4c97-a6b3d94eeded,D4:22:CD:00:38:5C,Movella DOT,29.851s,2025-05-18T11:35:03Z,2025-05-18T11:35:33Z,valid,
2025-05-18T11:39:14Z,2025-05-18T11:39:14Z,01JVHJZ0RE3FSQBATB1RJGVQSK,0196e32f-830d-cc0a-e310-52881398151d,D4:22:CD:00:38:5C,Movella DOT,29.885s,2025-05-18T11:37:44Z,2025-05-18T11:38:14Z,valid,
2025-05-18T11:46:14Z,2025-05-18T11:46:14Z,01JVHK6EKE2PWKBP46SBNYVD0E,0196e333-3a6d-7462-fc31-5b570442e73b,internal:accelerometer,Internal Accelerometer,40.038s,2025-05-18T11:41:47Z,2025-05-18T11:42:27Z,valid,
2025-05-18T11:46:14Z,2025-05-18T11:46:14Z,01JVHKA987PFT702MWRPCZYB9F,0196e335-2506-0e1b-aa3b-0fb40d19f391,internal:accelerometer,Internal Accelerometer,42.096s,2025-05-18T11:43:53Z,2025-05-18T11:44:35Z,valid,
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKG15ZE7MV3GNGQEC020ZE,0196e338-04be-3528-7a70-c5ad93274b8d,D4:22:CD:00:38:5C,Movella DOT,29.785s,2025-05-18T11:47:01Z,2025-05-18T11:47:31Z,valid,
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKKPVMHPA51SF8MZF2XEGX,0196e339-db73-b33f-2ad7-0a4c55116691,D4:22:CD:00:38:5C,Movella DOT,29.785s,2025-05-18T11:49:02Z,2025-05-18T11:49:32Z,valid,
2025-05-18T11:56:14Z,2025-05-18T11:56:14Z,01JVHKZ4CADR403MHN6BE87XK4,0196e33f-9188-af20-170d-fe77c0782f37,D4:22:CD:00:38:5C,Movella DOT,18.967s,2025-05-18T11:55:16Z,2025-05-18T11:55:35Z,valid,
2025-05-18T11:56:44Z,2025-05-18T11:56:44Z,01JVHKWQQJACB3RDCF123FKJEE,0196e33e-5ef1-5983-f629-bc6d664463ff,D4:22:CD:00:38:5C,Movella DOT,20.601s,2025-05-18T11:53:58Z,2025-05-18T11:54:18Z,valid,
2025-05-18T12:01:44Z,2025-05-18T12:01:44Z,01JVHM8S4N6HMN14HQTK8YAPX5,0196e344-6494-7c9c-5e40-a0a20cd1f3ff,D4:22:CD:00:38:5C,Movella DOT,29.651s,2025-05-18T12:00:32Z,2025-05-18T12:01:02Z,valid,
2025-05-18T12:02:44Z,2025-05-18T12:02:44Z,01JVHMAHYZS5F0TV7Y9H3X6VB0,0196e345-47de-67c0-3c20-edd2ac519a2a,D4:22:CD:00:38:5C,Movella DOT,29.651s,2025-05-18T12:01:30Z,2025-05-18T12:02:00Z,valid,
2025-05-18T12:07:44Z,2025-05-18T12:07:44Z,01JVHMM8JFMWA9JNNAWMHP9QVK,0196e34a-224e-9926-147b-ea790a41e66f,D4:22:CD:00:38:5C,Movella DOT,20.151s,2025-05-18T12:06:49Z,2025-05-18T12:07:09Z,valid,
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMVVKHR950PJ5T0ZXZ2CEC,0196e34d-ee70-25af-a55e-a08ee79e1193,D4:22:CD:00:38:5C,Movella DOT,16.517s,2025-05-18T12:10:57Z,2025-05-18T12:11:14Z,valid,
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMYD8VC78WBV79KCWRF516,0196e34f-3518-106a-a7a8-3e46f0a10a31,D4:22:CD:00:38:5C,Movella DOT,16.667s,2025-05-18T12:12:21Z,2025-05-18T12:12:38Z,valid,
2025-05-18T12:56:14Z,2025-05-18T12:56:14Z,01JVHMPXCK78YAZN6RFFHZ9ABW,0196e34b-7591-e688-f7f4-29cd7f0db321,D4:22:CD:00:38:5C,Movella DOT,20.901s,2025-05-18T12:08:15Z,2025-05-18T12:08:36Z,valid,
2025-05-21T11:41:44Z,2025-05-21T11:41:44Z,01JVS9B6G5QWA9W8M3CAG793FK,0196f295-9a04-ee1e-f89f-e948b977a92a,internal:accelerometer,Internal Accelerometer,33.194s,2025-05-21T11:23:32Z,2025-05-21T11:24:06Z,valid,
2025-05-21T11:42:14Z,2025-05-21T11:42:14Z,01JVS9D186CMMTFAVJAKC1QGQQ,0196f296-8504-3650-2555-ca56f5d4cd31,internal:accelerometer,Internal Accelerometer,31.337s,2025-05-21T11:24:33Z,2025-05-21T11:25:04Z,valid,
