CreatedAt,UpdatedAt,SignalID,Key,Value
2025-05-18T11:37:14Z,2025-05-18T11:37:14Z,01JVHJT44X0H3MBBHN50TJXF99,Sample Rate,60 Hz
2025-05-18T11:37:14Z,2025-05-18T11:37:14Z,01JVHJT44X0H3MBBHN50TJXF99,Device Label,DOT_0
2025-05-18T11:37:14Z,2025-05-18T11:37:14Z,01JVHJT44X0H3MBBHN50TJXF99,Display Label,sit_to_stand
2025-05-18T11:39:14Z,2025-05-18T11:39:14Z,01JVHJZ0RE3FSQBATB1RJGVQSK,Sample Rate,60 Hz
2025-05-18T11:39:14Z,2025-05-18T11:39:14Z,01JVHJZ0RE3FSQBATB1RJGVQSK,Device Label,DOT_0
2025-05-18T11:39:14Z,2025-05-18T11:39:14Z,01JVHJZ0RE3FSQBATB1RJGVQSK,Display Label,sit_to_stand
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKG15ZE7MV3GNGQEC020ZE,Sample Rate,60 Hz
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKG15ZE7MV3GNGQEC020ZE,Device Label,DOT_0
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKG15ZE7MV3GNGQEC020ZE,Display Label,sit_to_stand
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKKPVMHPA51SF8MZF2XEGX,Sample Rate,60 Hz
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKKPVMHPA51SF8MZF2XEGX,Device Label,DOT_0
2025-05-18T11:53:44Z,2025-05-18T11:53:44Z,01JVHKKPVMHPA51SF8MZF2XEGX,Display Label,sit_to_stand
2025-05-18T11:56:14Z,2025-05-18T11:56:14Z,01JVHKZ4CADR403MHN6BE87XK4,Sample Rate,60 Hz
2025-05-18T11:56:14Z,2025-05-18T11:56:14Z,01JVHKZ4CADR403MHN6BE87XK4,Device Label,DOT_0
2025-05-18T11:56:14Z,2025-05-18T11:56:14Z,01JVHKZ4CADR403MHN6BE87XK4,Display Label,water_task
2025-05-18T11:56:44Z,2025-05-18T11:56:44Z,01JVHKWQQJACB3RDCF123FKJEE,Sample Rate,60 Hz
2025-05-18T11:56:44Z,2025-05-18T11:56:44Z,01JVHKWQQJACB3RDCF123FKJEE,Device Label,DOT_0
2025-05-18T11:56:44Z,2025-05-18T11:56:44Z,01JVHKWQQJACB3RDCF123FKJEE,Display Label,water_task
2025-05-18T12:01:44Z,2025-05-18T12:01:44Z,01JVHM8S4N6HMN14HQTK8YAPX5,Sample Rate,60 Hz
2025-05-18T12:01:44Z,2025-05-18T12:01:44Z,01JVHM8S4N6HMN14HQTK8YAPX5,Device Label,DOT_0
2025-05-18T12:01:44Z,2025-05-18T12:01:44Z,01JVHM8S4N6HMN14HQTK8YAPX5,Display Label,sit_to_stand
2025-05-18T12:02:44Z,2025-05-18T12:02:44Z,01JVHMAHYZS5F0TV7Y9H3X6VB0,Sample Rate,60 Hz
2025-05-18T12:02:44Z,2025-05-18T12:02:44Z,01JVHMAHYZS5F0TV7Y9H3X6VB0,Device Label,DOT_0
2025-05-18T12:02:44Z,2025-05-18T12:02:44Z,01JVHMAHYZS5F0TV7Y9H3X6VB0,Display Label,sit_to_stand
2025-05-18T12:07:44Z,2025-05-18T12:07:44Z,01JVHMM8JFMWA9JNNAWMHP9QVK,Sample Rate,60 Hz
2025-05-18T12:07:44Z,2025-05-18T12:07:44Z,01JVHMM8JFMWA9JNNAWMHP9QVK,Device Label,DOT_0
2025-05-18T12:07:44Z,2025-05-18T12:07:44Z,01JVHMM8JFMWA9JNNAWMHP9QVK,Display Label,water_task
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMVVKHR950PJ5T0ZXZ2CEC,Sample Rate,60 Hz
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMVVKHR950PJ5T0ZXZ2CEC,Device Label,DOT_0
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMVVKHR950PJ5T0ZXZ2CEC,Display Label,water_task
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMYD8VC78WBV79KCWRF516,Sample Rate,60 Hz
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMYD8VC78WBV79KCWRF516,Device Label,DOT_0
2025-05-18T12:13:14Z,2025-05-18T12:13:14Z,01JVHMYD8VC78WBV79KCWRF516,Display Label,water_task
2025-05-18T12:56:14Z,2025-05-18T12:56:14Z,01JVHMPXCK78YAZN6RFFHZ9ABW,Sample Rate,60 Hz
2025-05-18T12:56:14Z,2025-05-18T12:56:14Z,01JVHMPXCK78YAZN6RFFHZ9ABW,Device Label,DOT_0
2025-05-18T12:56:14Z,2025-05-18T12:56:14Z,01JVHMPXCK78YAZN6RFFHZ9ABW,Display Label,water_task
2025-05-21T11:43:14Z,2025-05-21T11:43:14Z,01JVS9P960QHBSMNTRBJD5Q66T,Sample Rate,60 Hz
2025-05-21T11:43:14Z,2025-05-21T11:43:14Z,01JVS9P960QHBSMNTRBJD5Q66T,Device Label,DOT_0
2025-05-21T11:43:14Z,2025-05-21T11:43:14Z,01JVS9P960QHBSMNTRBJD5Q66T,Display Label,sit_to_stand
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJQSDR1956CS58RMEZYNSF,Sample Rate,60 Hz
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJQSDR1956CS58RMEZYNSF,Device Label,DOT_0
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJQSDR1956CS58RMEZYNSF,Display Label,sit_to_stand
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJVEP00CHDA46MQ569VFTC,Sample Rate,60 Hz
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJVEP00CHDA46MQ569VFTC,Device Label,DOT_0
2025-05-21T14:11:44Z,2025-05-21T14:11:44Z,01JVSJVEP00CHDA46MQ569VFTC,Display Label,water_task
