timestamp_ms,timestamp_μs,freeAcceleration_m/s²_x,freeAcceleration_m/s²_y,freeAcceleration_m/s²_z
1747568103960,2062594072,-0.014242916,-0.003983448,-0.19272709
1747568103977,2062610739,0.025048874,-0.01771519,-0.16298008
1747568103993,2062627406,0.005390015,-0.02299993,-0.07308769
1747568104010,2062644073,0.020260332,-0.037228987,-0.068873405
1747568104027,2062660740,0.0062829494,-0.015844163,-0.11032963
1747568104043,2062677407,-0.00096512894,-0.013647254,-0.12972164
1747568104060,2062694074,-0.010179227,-0.010313111,-0.11782646
1747568104077,2062710741,0.003025248,-0.014939159,-0.12460041
1747568104093,2062727408,0.026818873,-0.044934373,-0.06128311
1747568104110,2062744075,0.044606704,-0.04325378,-0.01272583
1747568104127,2062760742,0.09502653,-0.0132742105,-0.043842316
1747568104143,2062777409,0.111026935,0.026443819,-0.09414673
1747568104160,2062794076,0.14788087,0.009883072,-0.14965343
1747568104177,2062810743,0.13294663,0.007419736,-0.20263481
1747568104193,2062827410,0.11449764,0.0009832334,-0.13683414
1747568104210,2062844077,0.08477042,0.0038855493,-0.107481
1747568104227,2062860744,0.08684886,0.0011177883,-0.1244297
1747568104243,2062877411,0.048891,0.010196884,-0.13877106
1747568104260,2062894078,0.07987727,0.012998172,-0.16407394
1747568104277,2062910745,0.09780525,0.0015274875,-0.19639397
1747568104293,2062927412,0.14601631,0.015958378,-0.19130516
1747568104310,2062944079,0.14695932,0.0353602,-0.14721775
1747568104327,2062960746,0.17114253,0.035504587,-0.13843727
1747568104343,2062977413,0.20082349,0.029549753,-0.18993187
1747568104360,2062994080,0.24754596,0.005223274,-0.18410969
1747568104377,2063010747,0.32115346,0.019386396,-0.11715889
1747568104393,2063027414,0.36453733,0.050162118,-0.20815945
1747568104410,2063044081,0.4070875,0.012121554,-0.3768015
1747568104427,2063060748,0.48497418,-0.113221385,-0.39718246
1747568104443,2063077415,0.4040515,-0.2028608,-0.30810738
1747568104460,2063094082,0.443,-0.3482779,-0.25135517
1747568104477,2063110749,0.47461814,-0.47973233,-0.15420151
1747568104493,2063127416,0.62755376,-0.5403298,-0.12369251
1747568104510,2063144083,0.844923,-0.53872883,-0.09815979
1747568104527,2063160750,1.0249084,-0.5386729,-0.105181694
1747568104543,2063177417,1.1724044,-0.52937883,-0.121276855
1747568104560,2063194084,1.5230002,-0.5930503,-0.10702515
1747568104577,2063210751,1.8144147,-0.63733757,0.012304306
1747568104593,2063227418,1.806925,-0.6355864,0.26729107
1747568104610,2063244085,1.6639806,-0.69995296,0.70431423
1747568104627,2063260752,1.555599,-0.7634302,0.5714426
1747568104643,2063277419,1.5077657,-0.76930636,0.0672245
1747568104660,2063294086,1.6269828,-0.59620917,-0.069563866
1747568104677,2063310753,1.7750132,-0.43356216,-0.20531178
1747568104693,2063327420,1.8946974,-0.45765886,-0.4032402
1747568104710,2063344087,1.6476762,-0.85251933,-0.64866066
1747568104727,2063360754,1.2679499,-1.2971007,-0.36330223
1747568104743,2063377421,1.2296388,-0.9482662,0.5095835
1747568104760,2063394088,1.6359854,-0.94253963,0.93216515
1747568104777,2063410755,2.786943,-2.3584945,0.058587074
1747568104793,2063427422,1.7315063,-1.1714025,-1.8990569
1747568104810,2063444089,-0.0066374405,-0.03641853,-4.2951293
1747568104827,2063460756,-0.32390726,-1.2546165,-6.0063925
1747568104843,2063477423,-1.061039,-1.5136465,-5.8265615
1747568104860,2063494090,-1.3258303,-0.70856947,-4.016299
1747568104877,2063510757,-1.9875554,-0.50834703,-3.825245
1747568104893,2063527424,-1.8211238,-2.0115938,-3.7247825
1747568104910,2063544091,-2.120296,-2.458401,-4.0786686
1747568104927,2063560758,-2.1938593,-1.6990063,-4.5306716
1747568104943,2063577425,-1.9254662,0.18083684,-4.6619115
1747568104960,2063594092,-1.1275665,1.4746928,-4.543314
1747568104977,2063610759,-0.0695189,1.2946503,-3.6966386
1747568104993,2063627426,-0.19775957,1.3145454,-1.6627083
1747568105010,2063644093,-0.14650962,2.5036447,-2.1293826
1747568105027,2063660760,-1.331231,1.91381,-3.4716105
1747568105043,2063677427,-1.3145496,2.006166,-3.8572326
1747568105060,2063694094,-1.1282175,1.102112,-3.1812987
1747568105077,2063710761,-0.8194756,1.1695774,-1.7799873
1747568105093,2063727428,-1.0628908,2.2611854,-0.96777534
1747568105110,2063744095,-1.0147243,1.4991865,-0.6397686
1747568105127,2063760762,-0.9298515,0.99518985,-0.9569664
1747568105143,2063777429,-1.0077174,0.35425016,-0.6748314
1747568105160,2063794096,-1.0996833,0.415699,-0.039438248
1747568105177,2063810763,-0.9757485,0.12643972,1.2244864
1747568105193,2063827430,-0.54044694,0.32642794,0.763072
1747568105210,2063844097,-0.4053993,-0.08588418,0.48456764
1747568105227,2063860764,-1.896795,-0.47276297,2.1003494
1747568105243,2063877431,0.7424653,-1.0819552,11.755058
1747568105260,2063894098,1.115572,0.2499152,18.298868
1747568105277,2063910765,5.4183483,0.28721684,22.176434
1747568105293,2063927432,0.3355989,4.826219,5.033537
1747568105310,2063944099,5.538091,-2.8626378,4.996176
1747568105327,2063960766,-2.5563486,1.6691438,1.1671982
1747568105343,2063977433,-5.971704,2.961613,-9.518443
1747568105360,2063994100,-3.730324,2.889099,-5.1472073
1747568105377,2064010767,-1.0446888,1.3431703,-1.0111065
1747568105393,2064027434,-2.8615663,3.1041448,-2.4747047
1747568105410,2064044101,-2.6430254,2.2726824,-1.260169
1747568105427,2064060768,-1.319949,0.45556054,1.3451357
1747568105443,2064077435,-1.2448385,0.5347047,2.086071
1747568105460,2064094102,-0.28456083,0.036435295,3.6684237
1747568105477,2064110769,1.0945635,-1.3384411,4.962681
