timestamp_ms,acceleration_m/s²_x,acceleration_m/s²_y,acceleration_m/s²_z
1747826673021,-0.71915835,0.5339818,8.538097
1747826673041,-1.0941502,0.90074354,7.986683
1747826673071,-0.5612158,1.0907085,7.8590417
1747826673091,-0.12801497,1.171438,8.196325
1747826673131,0.119261175,0.84021515,8.690728
1747826673152,0.3243395,-0.22662616,9.468843
1747826673181,-0.37790978,0.49694648,10.29821
1747826673202,-2.0235493,1.9034652,10.60781
1747826673222,-3.7979522,2.9165118,10.549077
1747826673242,-3.925144,2.9810057,10.182839
1747826673262,-2.0145712,2.0729299,9.576432
1747826673283,-1.3513024,1.4896424,9.4897175
1747826673302,-2.415525,1.8931402,9.740885
1747826673323,-2.330007,1.9517233,9.945813
1747826673342,-1.541417,1.6781857,10.252121
1747826673362,-1.186327,2.0888662,10.62861
1747826673382,-1.0877906,2.6138697,10.390686
1747826673402,-1.4172177,3.034576,9.256582
1747826673423,-1.840393,3.1289225,8.226552
1747826673442,-1.8751837,3.0245502,7.690999
1747826673463,-1.7958758,2.9708302,7.8204355
1747826673483,-1.6271594,2.9002013,7.945832
1747826673502,-1.7435026,2.9513025,8.69821
1747826673523,-1.6690578,2.778845,9.386767
1747826673543,-1.6772131,2.8150575,10.019061
1747826673563,-1.3793595,2.7345524,11.252374
1747826673583,-1.0841244,2.3571663,12.06947
1747826673603,-1.1936592,2.1708677,12.062437
1747826673623,-1.1659014,2.328361,11.436802
1747826673643,-0.8040777,2.67365,11.508404
1747826673664,-0.36616322,2.7230303,12.304925
1747826673683,-0.35628715,2.3380127,12.83569
1747826673704,-0.9350106,1.9042133,12.412813
1747826673713,-1.2079495,1.7969232,12.040964
1747826673763,-1.0396073,1.5417911,11.548133
1747826673784,-0.9350106,0.99134916,12.009391
1747826673804,-0.9143606,0.51108724,11.754034
1747826673824,-0.6817489,0.20994157,10.501642
1747826673844,-0.2769792,0.27151743,9.083451
1747826673864,0.10339958,0.5069722,8.091504
1747826673884,0.2861071,0.6914006,7.672294
1747826673904,0.3071312,0.7448212,7.7463646
1747826673934,0.08267478,0.8512883,7.9979057
1747826673954,0.011372458,1.0452187,8.152032
1747826673974,0.028505964,1.2115409,8.192285
1747826673994,-0.0011971008,1.323844,8.363919
1747826674014,-0.060378775,1.3261633,8.031649
1747826674034,-0.38898295,1.6016461,7.627253
1747826674054,-0.31543607,1.7961001,7.384616
1747826674074,-0.049530048,2.0350714,7.4498577
1747826674094,0.07818565,2.2624457,7.356334
1747826674114,-0.15704466,2.4792707,7.0774097
1747826674134,-0.5008371,2.6650457,7.0982094
1747826674154,-0.66005147,2.8030865,7.749133
1747826674174,-0.74055654,3.0686932,8.548198
1747826674195,-1.1447277,3.4294696,9.111584
1747826674214,-1.4597896,3.583746,9.713575
1747826674234,-1.258527,3.621305,10.608707
1747826674255,-0.99845695,3.7062242,11.025897
1747826674275,-0.9641151,3.6985927,11.358767
1747826674295,-0.9473557,3.4406922,11.87958
1747826674315,-0.75237787,3.1384244,12.081516
1747826674345,-0.7518542,2.9953709,11.158925
1747826674365,-0.92214173,3.3798647,10.2866125
1747826674385,-0.70995563,3.707122,10.579603
1747826674405,-0.35501522,3.4964323,11.602376
1747826674425,-0.35748425,2.7436802,11.662156
1747826674445,-0.5960814,2.1048775,10.628684
1747826674465,-0.8407389,2.0024505,9.759664
1747826674485,-0.8656536,2.3646483,9.445275
1747826674505,-0.40402153,2.3968952,9.374722
1747826674525,-0.06995558,2.2453122,9.265411
1747826674555,0.12330139,2.0798879,8.715194
1747826674575,0.18121114,2.1484969,8.59683
1747826674596,0.20485388,2.2593033,8.616058
1747826674616,-0.008978256,2.1969044,8.174553
1747826674636,-0.26253918,1.9347395,7.4846487
1747826674656,-0.26238954,1.7813609,6.968623
1747826674676,-0.14477438,2.0771945,6.8982186
1747826674696,-0.582614,2.1854572,6.993239
1747826674716,-0.4770447,2.0990415,6.880337
1747826674737,-0.2646341,1.9647418,7.6036854
1747826674776,-0.6190508,2.6189573,9.182811
1747826674797,-0.4886416,3.120393,9.882591
1747826674816,0.08245032,3.4757075,10.730588
1747826674836,0.43776482,3.5922751,11.685949
1747826674856,0.6744167,3.2786348,12.749349
1747826674877,0.8916905,2.8440123,13.226542
1747826674896,0.8244284,2.7315598,12.516737
1747826674917,0.503755,2.8869584,11.222521
1747826674936,0.8304139,2.877157,10.195858
1747826674947,0.9298481,2.9508536,9.986589
1747826674987,0.87538,3.359065,11.451392
1747826675007,1.0111012,2.8306947,11.665823
1747826675027,0.86011696,2.3625534,10.835409
1747826675047,0.60580784,2.1647325,9.634118
1747826675067,0.4950012,1.9289036,8.690877
1747826675087,0.3807529,1.6543186,8.414946
1747826675107,0.23822308,1.5316157,8.50817
1747826675127,0.072050504,1.5861586,8.251317
1747826675147,-0.006135142,1.7613842,7.7349176
1747826675167,-0.06636428,2.0832548,7.5082912
1747826675187,-0.16901568,2.3051674,7.554305
1747826675208,-0.1747019,2.4257004,7.6764092
1747826675227,-0.15128362,2.3898623,7.4945245
1747826675248,-0.29516017,2.5246856,7.1347957
1747826675267,-0.5588965,2.8502972,6.9961567
1747826675288,-0.6190508,2.9445689,7.064242
1747826675308,-0.46769235,2.9278843,7.3497505
1747826675328,-0.28468555,3.003077,8.030152
1747826675348,-0.1850269,3.2286558,8.847773
1747826675358,-0.20874447,3.345448,9.222989
1747826675388,-0.31566054,3.5439422,9.363798
1747826675408,-0.47996262,3.7437832,9.176302
1747826675428,-1.105822,4.248212,9.298555
1747826675448,-1.3846716,4.2898107,9.77605
1747826675469,-1.4899416,4.1930704,10.559851
1747826675488,-1.3154641,3.9602342,11.341409
1747826675508,-1.1967268,3.7036057,11.917663
1747826675529,-1.3574375,3.6444988,12.168455
1747826675548,-1.2389245,3.6177137,11.569007
1747826675559,-1.173907,3.7214873,11.190648
1747826675589,-0.76644385,4.2925043,11.201647
1747826675609,0.00815525,4.269086,11.946617
1747826675629,0.1985691,3.504438,12.188132
1747826675648,-0.42803836,2.504709,11.118299
1747826675668,-1.2187235,1.932869,9.360431
1747826675689,-1.6554408,2.1355531,8.071677
1747826675709,-1.5540614,2.5297735,7.98773
1747826675729,-0.84597623,2.4343045,8.685117
1747826675749,-0.3060837,2.125677,9.010129
1747826675759,-0.28790274,2.0101569,8.894908
1747826675799,-0.17036241,2.3041198,8.193183
1747826675819,-0.21383214,2.4488194,7.994539
1747826675839,-0.16729484,2.3595605,7.8336782
1747826675860,-0.081776954,2.0857985,7.69272
1747826675879,-0.2984522,1.9586815,7.4005523
1747826675899,-0.5433341,2.0501847,6.81719
1747826675920,-0.9299229,2.1244051,6.145392
1747826675940,-0.9258079,1.9347395,5.944578
1747826675960,-0.7119009,2.008062,6.9007626
1747826675980,-0.48811787,2.3083098,7.7477117
1747826675990,-0.33840546,2.5083752,8.10527
1747826676030,-0.10998364,3.5897315,9.398738
1747826676050,0.34962827,3.6668696,10.492065
1747826676070,0.9650129,3.5695302,12.428675
1747826676089,0.8153005,3.6430771,13.534122
1747826676110,0.7872434,3.4728644,13.613955
1747826676130,0.51228434,3.554716,13.110798
1747826676150,0.26164135,3.533318,12.403312
